name,address,birthdate,phone
Jacqueline Alvarez,105N Elizabeth St,1958-01-23,315-377-5031
Julie Howell,185-1 Linden St,1956-12-03,680-537-8725
Christopher Ali,174-28 Baisley Blvd,2001-09-20,315-846-6054
Christopher Rodriguez,102 Mount Hope Pl,1959-07-10,516-275-2292
Jeffrey Wilkinson,17 St Marks Pl,1988-09-08,838-830-6960
Emma Wells,86-34 102nd Rd,1984-02-05,315-236-2043
Christopher Salas,1488 9th St SE,1967-01-18,318-339-3162
Christopher Boyd,2428 Main Way SE,1956-07-04,435-643-9792
Mathew Watkins,448 S 5th St,1976-04-18,914-318-5960
Carol May,4370 NE Lee Pl,1951-10-30,948-224-6825
Morgan Robinson,448 E 81st St,1951-03-09,917-466-5214
Andrew Bradford,67A Bevy Ct,1989-01-16,929-485-9213
Kevin Watson,1060A 39th St,1995-07-04,838-625-4866
Benjamin Johnson,4497 N 11th Way,1991-12-10,279-851-9725
Randy Poole Jr.,2635 Maple St,1951-01-19,570-210-2650
Deborah Wise,2370 NW 8th Ln,1964-05-14,840-269-1237
Maria Reyes,226 Maple Dr,1973-12-02,586-808-3044
Carmen Smith,1843A E Tremont Ave,1955-06-29,315-795-3014
Antonio Smith,2624B Adam Clayton Powell Jr Blvd,1967-11-12,838-429-3211
Jennifer Oconnor,341 Britton Ave,1968-07-25,914-349-9960
Terri Vargas,143A W 225th St,1982-02-19,516-798-3811
Robert Johnson,128-48 27th Ave,1975-08-19,838-751-3188
Donald Stevens,4526 Park Pl W,2001-06-23,937-591-0417
Melissa Brandy Gonzalez,137 Park Way W,1950-12-29,667-245-2209
Anna Jacobs,44-54 165th St,1979-08-21,718-476-0120
Diane Villarreal,4522A Carpenter Ave,1962-07-22,914-798-5915
William Ramirez,245A E 4th St,1972-12-10,315-478-3906
Dillon Dudley,1937 19th Ln,1968-01-17,585-433-3925
Douglas Ramirez,977 2nd Pl,1970-01-01,971-738-0927
Joseph Miller Jr.,352 NE Park Rd,1984-10-31,254-738-1139
Christopher Macdonald,1021 Glenmore Ave,2000-03-19,516-951-9076
Kevin Kennedy,607 W 196th St,1961-11-27,315-502-9459
Kent Nunez,120 Richardson St,1985-05-05,914-572-1691
Debbie Richmond,1248A Southern Blvd,1980-02-16,347-954-4913
Daryl White,2343 Boynton Pl,1949-05-21,838-900-2590
Michael Davis,83-48 Vietor Ave,1955-07-27,347-862-0409
Angela Brown,3793 S Oak Way,1955-09-24,618-908-4521
